TestNameID,Date,Time,Users,PassPercent,FailPercent
Login_Load_Test.js,31/05/2025,5:56 pm,1000,69.70,30.30
Login_Load_Test.js,02/06/2025,10:15 am,5,100.00,0.00
Login_Load_Test.js,06/06/2025,3:15 pm,5,100.00,0.00
Login_Load_Test.js,06/06/2025,3:17 pm,5,100.00,0.00
Calendar_Load_Test.js,06/06/2025,3:19 pm,10,72.73,27.27
Calendar_Load_Test.js,06/06/2025,3:22 pm,100,0.00,100.00
Calendar_Load_Test.js,06/06/2025,3:31 pm,100,0.00,100.00
Calendar_Load_Test.js,06/06/2025,3:33 pm,100,0.00,100.00
Calendar_Load_Test.js,06/06/2025,3:43 pm,100,0.00,100.00
Calendar_Load_Test.js,06/06/2025,3:44 pm,1,0.00,100.00
Calendar_Load_Test.js,06/06/2025,3:46 pm,1,72.73,27.27
Calendar_Load_Test.js,06/06/2025,3:47 pm,1,72.73,27.27
Login_Load_Test.js,06/06/2025,3:51 pm,10,100.00,0.00
Calendar_Load_Test.js,06/06/2025,3:54 pm,1,72.73,27.27
Calendar_Load_Test.js,06/06/2025,3:55 pm,1,72.73,27.27
Calendar_Load_Test.js,06/06/2025,3:58 pm,1,72.73,27.27
Calendar_Load_Test.js,06/06/2025,3:59 pm,1,72.73,27.27
Calendar_Load_Test.js,06/06/2025,4:01 pm,1,72.73,27.27
Calendar_Load_Test.js,06/06/2025,4:01 pm,1,72.73,27.27
Calendar_Load_Test.js,06/06/2025,4:16 pm,50,0.00,100.00
Calendar_Load_Test.js,06/06/2025,4:17 pm,10,72.73,27.27
Calendar_Load_Test.js,06/06/2025,4:18 pm,10,100.00,0.00
Calendar_Load_Test.js,06/06/2025,4:26 pm,10,100.00,0.00
Calendar_Load_Test.js,06/06/2025,4:29 pm,20,100.00,0.00
Calendar_Load_Test.js,06/06/2025,4:31 pm,35,15.79,84.21
Calendar_Load_Test.js,06/06/2025,4:36 pm,30,66.67,33.33
Calendar_Load_Test.js,06/06/2025,4:49 pm,30,100.00,0.00
Calendar_Load_Test.js,06/06/2025,5:03 pm,40,46.15,53.85
Calendar_Load_Test.js,06/06/2025,5:20 pm,35,100.00,0.00
Calendar_Load_Test.js,06/06/2025,5:31 pm,40,29.79,70.21
Calendar_Load_Test.js,06/06/2025,5:43 pm,40,49.06,50.94
Calendar_Load_Test.js,06/06/2025,6:02 pm,100,0.00,100.00
Calendar_Load_Test.js,09/06/2025,9:45 am,100,0.00,0.00
Login_Load_Test.js,09/06/2025,9:46 am,1,0.00,100.00
Login_Load_Test.js,09/06/2025,9:48 am,1,33.33,66.67
Calendar_Load_Test.js,09/06/2025,10:49 am,1,100.00,0.00
Calendar_Load_Test.js,09/06/2025,10:50 am,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,11:04 am,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,11:35 am,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,11:35 am,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,11:35 am,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,11:36 am,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,3:56 pm,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,3:57 pm,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,3:57 pm,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,3:58 pm,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,4:01 pm,1,85.71,14.29
Calendar_Load_Test.js,09/06/2025,4:03 pm,1,85.71,14.29
Calendar_Load_Test.js,12/06/2025,11:26 am,198,85.06,14.94
Calendar_Load_Test.js,01/07/2025,11:06 am,198,95.29,4.71
List_Zone_Load_Test.js,01/07/2025,11:07 am,5,100.00,0.00
Calendar_Load_Test.js,27/08/2025,4:28 pm,5,85.71,14.29
Calendar_Load_Test.js,27/08/2025,4:38 pm,10,85.71,14.29
ClaimSpot_Load_Test.js,27/08/2025,4:40 pm,5,82.61,17.39
ClaimSpot_Load_Test.js,27/08/2025,4:47 pm,5,86.09,13.91
ClaimSpot_Load_Test.js,27/08/2025,5:55 pm,5,82.61,17.39
